6,3,18,500.0,0.5,0.944,2.25,9,17,4,1
5,2,10,0.4,0.8,1.0,8.0,8,10,1,1
4,18,72,4.5,0.25,0.528,2.57,18,38,7,1
10,34,340,3.4,0.297,0.885,1.71,101,301,59,1
10,100,1000,10.0,0.436,0.91,2.53,436,910,172,1
9,75,675,8.333,0.256,0.606,2.19,173,409,79,1
2,69,138,34.5,0.623,0.906,10.75,86,125,8,2
11,77,847,7.0,0.345,0.874,2.43,292,740,120,1
1,57,57,57.0,0.456,1.0,3.71,26,57,7,2
10,152,1520,15.2,0.297,0.778,2.17,452,1182,208,1
2,17,34,8.5,0.588,0.971,6.67,20,33,3,2
6,27,162,4.5,0.154,0.481,2.78,25,78,9,1
7,15,105,2.143,0.324,0.762,3.09,34,80,11,1
11,9,99,0.818,0.485,0.727,6.0,48,72,8,1
9,55,495,6.111,0.299,1.0,1.92,148,495,77,1
9,14,126,1.556,0.127,0.937,1.78,16,118,9,1
8,35,280,4.375,0.379,0.886,1.66,106,248,64,1
9,80,720,8.889,0.293,0.868,1.85,211,625,114,1
8,84,672,10.5,0.269,0.966,1.79,181,649,101,1
7,14,98,2.0,0.184,0.612,18.0,18,60,1,1
8,26,208,3.25,0.375,0.947,1.77,78,197,44,1
9,36,324,4.0,0.568,0.932,3.02,184,302,61,1
6,46,276,7.667,0.217,0.804,2.0,60,222,30,1
11,21,231,1.909,0.411,0.68,3.96,95,157,24,1
10,38,380,3.8,0.439,0.897,2.83,167,341,59,1
11,100,1100,9.091,0.269,0.765,1.9,296,842,156,1
8,82,656,10.25,0.398,0.951,2.51,261,624,104,1
8,40,320,5.0,0.391,0.991,2.08,125,317,60,1
8,45,360,5.625,0.367,0.897,2.44,132,323,54,1
1,9,9,9.0,0.778,1.0,7.0,7,9,1,2
44,3,132,0.068,0.598,0.841,2.47,79,111,32,4
3,213,639,71.0,0.318,0.379,11.94,203,242,17,2
10,24,240,2.4,0.267,0.821,2.06,64,197,31,1
12,84,1008,7.0,0.282,0.778,1.91,284,784,149,1
10,63,630,6.3,0.294,0.895,2.2,185,564,84,1
1,75,75,75.0,0.92,1.0,11.5,69,75,6,2
9,34,306,3.778,0.288,0.641,2.1,88,196,42,1
12,8,96,0.667,0.479,0.5,46.0,46,48,1,1
12,7,84,0.583,0.56,1.0,5.22,47,84,9,1
14,18,252,1.286,0.159,0.607,3.33,40,153,12,1
11,98,1078,8.909,0.317,0.643,2.8,342,693,122,1
9,7,63,0.778,0.349,0.683,2.2,22,43,10,1
9,45,405,5.0,0.425,0.938,2.77,172,380,62,1
10,38,380,3.8,0.432,0.939,2.78,164,357,59,1
9,36,324,4.0,0.586,0.948,3.45,190,307,55,1
9,22,198,2.444,0.389,0.843,1.93,77,167,40,1
