5,7,35,1.4,0.371,0.743,4.33,13,26,3,1
5,8,40,1.6,0.375,0.475,15.0,15,19,1,1
5,5,25,1.0,0.4,0.56,5.0,10,14,2,1
11,8,88,0.727,0.602,1.0,5.89,53,88,9,1
2,101,202,50.5,0.54,0.743,10.9,109,150,10,2
2,18,36,9.0,0.806,0.833,29.0,29,30,1,2
9,92,828,10.222,0.292,0.843,2.05,242,698,118,1
9,41,369,4.556,0.298,0.775,1.9,110,286,58,1
10,63,630,6.3,0.233,0.705,1.69,147,444,87,1
1,10,10,10.0,1.0,1.0,10.0,10,10,1,2
1,8,8,8.0,1.0,1.0,8.0,8,8,1,2
11,8,88,0.727,0.705,1.0,7.75,62,88,8,1
11,8,88,0.727,0.443,0.466,39.0,39,41,1,1
11,42,462,3.818,0.335,0.829,2.25,155,383,69,1
8,48,384,6.0,0.31,0.807,1.92,119,310,62,1
10,130,1300,13.0,0.425,0.773,2.79,552,1005,198,1
9,49,441,5.444,0.594,0.998,3.05,262,440,86,1
9,20,180,2.222,0.339,0.872,2.35,61,157,26,1
1,19,19,19.0,0.789,1.0,3.75,15,19,4,2
14,339,4746,24.214,0.248,0.547,2.44,1175,2596,481,1
93,4,372,0.043,0.419,0.565,2.89,156,210,54,4
9,174,1566,19.333,0.178,0.737,1.71,279,1154,163,1
7,27,189,3.857,0.101,0.619,3.8,19,117,5,1
9,97,873,10.778,0.466,0.973,2.42,407,849,168,1
9,21,189,2.333,0.354,0.878,2.68,67,166,25,1
1,51,51,51.0,0.471,1.0,2.4,24,51,10,2
7,27,189,3.857,0.238,0.741,2.81,45,140,16,1
1,49,49,49.0,0.286,1.0,7.0,14,49,2,1
9,36,324,4.0,0.42,0.889,2.0,136,288,68,1
9,21,189,2.333,0.392,0.899,2.74,74,170,27,1
10,80,800,8.0,0.314,0.799,2.06,251,639,122,1
1,33,33,33.0,1.0,1.0,33.0,33,33,1,2
9,44,396,4.889,0.467,0.944,3.14,185,374,59,1
1,8,8,8.0,0.875,1.0,7.0,7,8,1,2
9,39,351,4.333,0.293,0.937,2.06,103,329,50,1
